KAZ1,MAR2,NZL2,UZB3,TUR3,SWE3,RUS4,NZL4,MAC4,JPN3,KAZ2,MAR3,PAK2,SAU1,SWE4,TUR4,UZB4,ZAF2,PAK1,RWA1
RUS2,SWE2,VNM3,TWN3,SYR3,SAU2,PAK3,MAR4,KAZ3,GRC4,HKG4,JPN4,MDA2,PER1,SGP1,SYR4,TWN4,VNM4,MEX1,USA1
TUR2,ZAF3,UKR1,THA1,SGP2,PER2,MDA3,KGZ1,HRV1,ECU4,EGY4,HRV2,KGZ2,MEX2,PHL1,SLV1,THA2,UKR2,ZAF4,JPN2
SYR2,TWN2,TJK1,SLV2,PHL2,MEX3,KOR1,HUN1,ESP3,CYP4,CZE4,ESP4,HUN2,KOR2,MKD1,POL1,SRB1,TJK2,USA2,MDA1
UKR3,THA3,SAU3,PAK4,MDA4,KAZ4,HRV3,EST3,DEU1,BOL4,BRA4,DEU2,EST4,HRV4,KGZ3,MEX4,PER3,SAU4,THA4,UKR4
TJK3,SGP3,PER4,MKD2,KGZ4,HUN3,FIN1,DNK1,CAN3,AZE4,BEL4,BOL7,DNK2,FIN2,HUN4,KOR3,MKD3,PHL3,SGP4,TJK4
SLV3,PHL4,MNG1,KOR4,IDN1,FRA1,DOM1,BOL8,BGD3,ARM3,AUS3,BGD4,CAN4,DOM2,FRA2,IDN2,LBY1,MNG2,POL2,SRB2
POL3,MYS1,LBY2,IND1,GBR1,DZA1,CHE3,BGR3,AUT3,ARE3,ARG3,AUT4,BGR4,CHE4,DZA2,GBR2,IND2,LKA1,MYS2,PRT1
MKD4,LKA2,IDN3,FIN3,DEU3,COL1,CAN1,BLR1,BEL2,AUS2,ARM2,AZE2,BLR2,CAN2,COL2,DEU4,FIN4,IDN4,LBY3,MNG3
LBY4,IND3,FRA3,DNK3,CUB1,CHE1,BOL1,BGD1,ARG2,ARE1,ARG1,ARE2,BGD2,BOL2,CHE2,CUB2,DNK4,FRA4,IND4,LKA3
LTU1,IRL1,GBR3,DOM3,CYP1,CHL1,BRA1,BGR1,AUT1,ARM1,AUS1,AUT2,BGR2,BRA2,CHL2,CYP2,DOM4,GBR4,IRL2,LTU2
MNG4,LUX1,IRN1,GEO1,DZA3,CZE1,CHN1,BOL5,BIH1,AZE1,BEL1,BIH2,BOL6,CHN2,CZE2,DZA4,GEO2,IRN2,LUX2,MYS3
POL4,MYS4,LKA4,IRL3,GHA1,ECU1,COL3,BLR3,ARM4,ARE4,ARG4,AUS4,BLR4,COL4,ECU2,GHA2,IRL4,LTU3,NGA1,PRT2
SRB3,PRT3,NGA2,LTU4,IRN3,GEO3,EGY1,CHN3,BIH3,AZE3,BEL3,BIH4,CHN4,EGY2,GEO4,IRN4,LUX3,NLD1,PSE1,SRB4
TKM1,SVK1,PSE2,NLD2,LUX4,ISL1,GRC1,ESP1,CUB3,BOL3,BRA3,CUB4,ESP2,GRC2,ISL2,LVA1,NOR1,ROU1,SVK2,TKM2
USA3,TUN1,SVN1,ROU2,NOR2,LVA2,ITA1,HKG1,EST1,CYP3,CZE3,EST2,HKG2,ITA2,MAC1,NZL1,RUS1,SVN2,TUN2,USA4
MAR1,UZB1,TKM3,SVK3,PRT4,NGA3,MAC2,ISL3,GHA3,ECU3,EGY3,GHA4,JPN1,LVA3,NLD3,PSE3,SVK4,TKM4,UZB2,ROU4
NZL3,NOR4,VNM1,TUN3,SVN3,PSE4,NLD4,LVA4,ITA3,GRC3,HKG3,ITA4,MAC3,NOR3,ROU3,SVN4,TUN4,VNM2,,
TWN1,SYR1,RUS3,ZAF1,TUR1,SWE1,,,,,,,,,,,,,,
